ori,pre_months,post_months,tot_n,att_pp,ci_lo_pp,ci_hi_pp,p,state,state_abb,pre_monthly_avg,volume_tercile,log_volume,att_se,precision
IN0320100,12,7,29,1.76723147359087,0.642873872554776,2.89158907462696,0.00206536057880966,IN,in,1.6,Medium,0.955511445027436,0.573651837263313,3.02960135263693
IN0320300,20,13,50,-36.8621670724822,-37.5025785069805,-36.2217556379839,0,IN,in,1.55555555555556,Medium,0.93826963859293,0.326740527805259,9.27993525484698
IN0321100,17,13,38,2.49178358125136,1.7035231648604,3.28004399764233,5.79934935592627e-10,IN,in,1,Low,0.693147180559945,0.402173681832124,6.14463221701785
IN0340000,17,13,52,2.76400903067471,1.74906132059508,3.77895674075435,9.41477159347986e-08,IN,in,1.88888888888889,Medium,1.06087196068526,0.517830464326343,3.71542256225613
IN0340100,30,18,236,10.3914820891792,9.81510767330043,10.9678565050581,1.59161060518279e-273,IN,in,4.5,High,1.70474809223843,0.294068579530011,11.4316639266346
IN0410000,13,8,27,-0.580892628038708,-1.07289842639532,-0.0888868296820944,0.02066235635944,IN,in,1.16666666666667,Low,0.773189888233482,0.251023366508476,15.6218925777677
IN0410200,12,8,24,-8.66316194322413,-9.45805703383396,-7.8682668526143,3.0778391517764e-101,IN,in,1.16666666666667,Low,0.773189888233482,0.405558719698893,6.04310394517596
IN0410300,20,15,61,15.9974265620723,15.1929771805187,16.8018759436258,0,IN,in,1.33333333333333,Low,0.847297860387203,0.410433357935487,5.90125287312405
IN0420200,9,11,30,-17.3303089101156,-18.1562051481916,-16.5044126720397,0,IN,in,1,Low,0.693147180559945,0.421375631671411,5.60043925022219
IN0430000,17,14,65,-5.7237001411996,-5.90397279949271,-5.54342748290648,0,IN,in,1,Low,0.693147180559945,0.0919758460679159,105.713203930945
IN0430100,22,11,60,-18.469432209474,-19.4034634700996,-17.5354009488485,0,IN,in,2.33333333333333,Medium,1.20397280432594,0.476546561543667,4.38410694854019
IN0450000,13,10,24,-4.24313978114921,-4.26720077793055,-4.21907878436788,0,IN,in,1,Low,0.693147180559945,0.0122760187659867,869.035757927947
IN0450300,18,8,37,25.8740915968882,24.856969436915,26.8912137568614,0,IN,in,1,Low,0.693147180559945,0.518939877537352,3.69961225457423
IN0450500,16,8,72,-3.56652091279187,-4.0500584725253,-3.08298335305844,2.272831339841e-47,IN,,,,,0.246702836598688,16.1649367764253
IN0450700,28,18,173,-1.59823959907077,-2.29161564608757,-0.904863552053957,6.24789484007146e-06,IN,in,3.66666666666667,High,1.54044504094715,0.35376328929429,7.92716741476579
IN0450900,18,8,34,28.5567425986027,27.7778316670353,29.3356535301701,0,IN,in,1.25,Low,0.810930216216329,0.397403536513957,6.29209526429631
IN0460000,15,9,33,-23.7191288402329,-24.5313603106015,-22.9068973698643,0,IN,in,1.75,Medium,1.01160091167848,0.414403811412557,5.78936488057564
IN0460100,18,14,52,1.06404013909494,0.486964379259131,1.64111589893075,0.000301575852733494,IN,in,1.83333333333333,Medium,1.04145387482816,0.294426408079495,11.4042107604269
IN0460200,25,16,120,-11.8295151513723,-12.5571223224414,-11.1019079803033,7.93044970769942e-223,IN,in,3.63636363636364,High,1.53393035992596,0.371228148504628,7.20407436984529
IN0480200,26,16,134,-2.53885002696404,-3.1922852880323,-1.88541476589577,2.62953462278669e-14,IN,in,2.3,Medium,1.19392246847243,0.333385337279725,8.91696479564772
IN0490100,15,9,41,13.0434962558164,12.056986379463,14.0300061321699,4.53058617712245e-148,IN,in,1.16666666666667,Low,0.773189888233482,0.503321365486436,3.93186244447035
IN0490200,29,17,184,9.745340739596,8.94346981506774,10.5472116641243,2.05415658853551e-125,IN,in,4.33333333333333,High,1.67397643357167,0.409117818636867,5.93903969418925
IN0490300,11,12,33,5.26765277089281,4.56555082991713,5.9697547118685,5.96315676040685e-49,IN,in,1.25,Low,0.810930216216329,0.358215276008001,7.73286454646527
IN0495300,17,7,34,-17.8361920108966,-18.6502742948992,-17.022109726894,0,IN,in,1.5,Medium,0.916290731874155,0.415348104082957,5.763222136949
IN0530100,29,15,131,15.9168755791296,15.3269052927365,16.5068458655228,0,IN,in,3.16666666666667,High,1.42711635564015,0.301005248159758,10.916534864079
